rent,area,rooms,yearc,bathextra,bathtile,cheating,district,location,upkitchen,wwater
264.99,31,1,1973.0,no,yes,yes,Mil-AmH,normal,no,yes
480.1,65,3,1971.0,no,yes,yes,Mil-AmH,normal,no,yes
383.72,36,1,1972.0,no,yes,yes,SchwWest,good,no,yes
636.13,54,2,1999.0,no,yes,yes,Moos,normal,yes,yes
415.91,55,2,1986.0,no,yes,yes,Moos,normal,no,yes
1355.28,113,4,2001.0,no,yes,yes,All-Umenz,normal,no,yes
575.9,110,4,1966.0,yes,yes,yes,All-Umenz,normal,no,yes
935.9,75,3,1971.0,no,yes,yes,Schwab-Frei,good,no,yes
624.8,75,2,1985.0,no,yes,yes,Schwab-Frei,good,no,yes
606.91,67,3,1968.0,no,no,yes,Th-Ob-Fo-Fu-So,normal,yes,yes
347.68,39,1,1970.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
373.98,36,1,1966.0,no,no,yes,Send-West,normal,no,yes
1063.5,102,4,1924.0,no,yes,yes,Schwab-Frei,good,no,yes
894.78,88,3,1960.0,no,yes,yes,Schwab-Frei,normal,no,yes
1077.23,147,4,1918.0,yes,yes,yes,Schwab-Frei,good,no,yes
331.67,65,3,1966.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
849.24,85,3,1969.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
1012.86,116,6,2001.0,yes,yes,yes,Feld-Has,normal,no,yes
664.69,73,3,1924.0,no,yes,yes,All-Umenz,normal,yes,yes
1022.6,90,3,1989.0,no,yes,yes,Th-Ob-Fo-Fu-So,top,no,yes
640.32,81,3,1972.0,no,no,yes,Th-Ob-Fo-Fu-So,good,no,yes
649.35,55,2,1983.0,no,yes,yes,Th-Ob-Fo-Fu-So,top,no,yes
699.46,76,3,1918.0,no,no,yes,Au-Haid,normal,no,yes
479.46,56,2,1957.0,no,no,no,Au-Haid,good,no,yes
400.34,43,1,1984.0,no,yes,yes,Obgies,normal,no,yes
1151.63,105,3,1918.0,yes,yes,yes,Au-Haid,good,no,yes
593.4,66,3,1966.0,no,yes,yes,Obgies,normal,no,yes
817.25,95,3,1918.0,no,yes,yes,Au-Haid,normal,no,yes
584.38,61,2,1960.0,no,yes,yes,SchwWest,normal,no,yes
505.62,57,3,1966.0,no,no,yes,Send,normal,no,yes
621.6,74,3,1984.0,no,yes,yes,Schwab-Frei,normal,no,yes
706.61,96,3,1971.0,yes,yes,yes,Trud-Rie,good,no,yes
691.92,89,3,1972.0,yes,yes,yes,Bogenh,good,no,yes
566.21,63,2,1979.0,no,yes,yes,Trud-Rie,good,no,yes
269.84,62,2,1918.0,no,yes,no,Lud-Isar,normal,no,no
526.7,131,5,1924.0,no,yes,yes,Lud-Isar,normal,no,yes
710.69,68,2,2000.0,yes,yes,yes,Lud-Isar,normal,no,yes
689.49,84,3,1983.0,no,yes,yes,Lud-Isar,normal,no,yes
511.3,50,2,1968.0,no,yes,yes,Lud-Isar,normal,no,yes
418.3,73,4,1960.0,no,yes,yes,BamLaim,normal,no,yes
415.32,65,3,1966.0,no,yes,yes,BamLaim,normal,no,yes
445.33,57,2,1918.0,no,yes,yes,BamLaim,normal,no,yes
359.73,87,3,1924.0,no,yes,yes,Moos,normal,no,yes
890.0,87,3,1984.0,no,yes,yes,Neuh-Nymp,good,no,yes
483.43,54,2,1992.0,no,yes,yes,Neuh-Nymp,good,no,yes
656.51,59,2,1992.0,no,yes,yes,Neuh-Nymp,good,no,yes
695.0,91,3,1966.0,no,yes,yes,Schwab-Frei,normal,no,yes
106.22,32,1,1957.0,no,yes,yes,Mil-AmH,normal,no,yes
132.24,37,2,1948.0,no,yes,no,Mil-AmH,normal,no,no
456.44,93,4,1977.0,no,yes,yes,Mil-AmH,normal,no,yes
489.0,79,3,1948.0,no,yes,yes,Bogenh,normal,no,yes
825.48,103,4,1982.0,yes,yes,yes,Ugies-Har,normal,no,yes
831.28,92,3,1966.0,no,yes,yes,Ram-Per,normal,yes,yes
715.82,70,3,1960.0,no,yes,yes,Ugies-Har,normal,no,yes
637.38,76,3,1989.0,no,yes,yes,Bogenh,normal,no,yes
813.78,72,3,1992.0,no,yes,yes,Bogenh,normal,no,yes
339.5,90,3,1973.0,yes,yes,yes,Bogenh,good,yes,yes
598.23,72,3,1957.0,no,yes,yes,Laim,normal,no,yes
361.97,66,2,1924.0,no,yes,yes,Laim,normal,no,yes
693.57,80,3,1966.0,no,yes,yes,Laim,normal,no,yes
549.98,72,3,1973.0,no,yes,yes,Laim,normal,no,yes
621.79,65,2,1998.0,no,yes,yes,Feld-Has,normal,yes,yes
352.85,71,3,1993.0,no,yes,yes,Feld-Has,normal,no,yes
969.36,109,4,1983.0,yes,yes,yes,Pas-Obmenz,good,no,yes
298.95,55,2,1997.0,no,yes,yes,Pas-Obmenz,normal,no,yes
456.94,60,2,1997.0,yes,yes,yes,Pas-Obmenz,normal,no,yes
292.28,35,2,1966.0,no,yes,yes,Pas-Obmenz,normal,no,yes
649.82,102,4,1974.0,yes,yes,yes,Bogenh,normal,no,yes
363.91,32,1,1918.0,no,yes,yes,Au-Haid,good,no,yes
1749.15,123,4,1918.0,no,yes,yes,Bogenh,top,no,yes
679.01,82,3,1972.0,no,yes,yes,Bogenh,normal,no,yes
643.64,71,3,1972.0,no,yes,yes,Bogenh,normal,no,yes
727.96,80,3,1918.0,no,yes,yes,Au-Haid,normal,no,yes
963.84,107,4,1966.0,no,yes,yes,Bogenh,top,no,yes
338.34,65,3,1960.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
718.07,70,2,1983.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
892.13,95,3,1918.0,yes,yes,yes,Lud-Isar,normal,no,yes
1217.15,126,4,1918.0,no,yes,no,Lud-Isar,normal,no,yes
338.15,42,2,1960.0,no,yes,yes,Lud-Isar,normal,no,yes
466.43,50,2,1968.0,no,yes,yes,Maxvor,normal,no,yes
570.1,79,4,1966.0,no,yes,yes,Had,normal,no,yes
673.47,73,4,1960.0,no,yes,yes,Trud-Rie,good,no,yes
562.58,55,2,1974.0,no,yes,yes,Neuh-Nymp,top,no,yes
639.13,166,6,1918.0,yes,yes,yes,Neuh-Nymp,good,no,no
619.94,115,5,1918.0,no,no,yes,Neuh-Nymp,good,no,yes
426.73,39,1,1957.0,yes,yes,yes,Au-Haid,normal,no,yes
294.82,72,3,1918.0,no,yes,no,Au-Haid,good,no,no
304.23,58,2,1918.0,yes,no,no,Au-Haid,good,no,yes
587.99,50,2,2000.0,no,yes,yes,Schwanth,normal,no,yes
308.99,69,4,1924.0,no,yes,yes,Schwanth,normal,no,yes
516.5,62,2,1918.0,no,yes,yes,Schwanth,normal,no,yes
998.83,82,3,1993.0,yes,yes,yes,Trud-Rie,good,yes,yes
951.37,94,2,1988.0,yes,yes,yes,Trud-Rie,good,no,yes
679.38,88,4,1968.0,no,yes,yes,Ram-Per,normal,no,yes
505.67,73,4,1966.0,no,no,yes,Ram-Per,normal,no,yes
292.61,38,1,1969.0,no,yes,yes,Ram-Per,normal,no,yes
536.87,65,2,1969.0,no,no,yes,Ram-Per,normal,no,yes
613.55,76,2,1972.0,no,no,yes,Ram-Per,normal,no,yes
546.5,78,4,1960.0,no,yes,yes,BamLaim,normal,no,yes
246.48,61,3,1924.0,no,yes,no,BamLaim,normal,no,yes
588.0,51,2,1924.0,no,yes,yes,Maxvor,good,no,yes
756.34,89,4,1918.0,no,yes,yes,Obgies,normal,no,yes
149.62,60,3,1957.0,no,no,no,Obgies,normal,no,no
237.75,58,2,1918.0,no,yes,no,Au-Haid,good,no,no
261.19,23,1,1968.0,no,yes,yes,Obgies,normal,no,yes
476.53,77,3,1968.0,no,no,yes,Ram-Per,normal,no,yes
379.86,71,3,1970.0,no,yes,yes,All-Umenz,normal,no,yes
181.98,47,2,1960.0,no,no,no,Moos,normal,no,no
907.53,97,4,1966.0,no,yes,yes,Moos,normal,no,yes
767.94,105,4,1970.0,no,yes,yes,Moos,normal,no,yes
740.71,70,3,1967.0,no,yes,yes,Feld-Has,normal,yes,yes
678.93,89,4,1972.0,no,no,yes,All-Umenz,normal,no,yes
705.29,110,4,1918.0,no,yes,yes,Neuh-Nymp,good,no,yes
458.92,50,2,1960.0,yes,no,yes,Neuh-Nymp,good,no,yes
560.76,83,2,1918.0,no,yes,yes,Neuh-Nymp,good,no,yes
559.87,54,2,1993.0,no,yes,yes,Bogenh,normal,no,yes
690.0,77,2,1983.0,no,yes,yes,SchwWest,good,no,yes
920.34,97,4,1966.0,no,no,yes,SchwWest,good,no,yes
469.08,66,3,1966.0,no,no,yes,Had,normal,no,yes
324.67,41,2,1969.0,no,yes,yes,Had,normal,no,yes
685.04,87,3,1966.0,no,no,yes,SchwWest,good,no,yes
410.74,88,4,1924.0,no,no,no,Laim,normal,no,no
608.43,59,2,1992.0,no,yes,yes,Ram-Per,normal,no,yes
383.48,40,1,1984.0,no,yes,yes,Ram-Per,normal,no,yes
505.23,77,4,1974.0,no,yes,yes,Ram-Per,normal,no,yes
586.11,78,3,1989.0,no,yes,yes,Ram-Per,normal,yes,yes
585.03,70,2,1966.0,no,no,yes,Neuh-Nymp,good,no,yes
605.78,58,2,1918.0,no,yes,yes,Neuh-Nymp,normal,no,yes
536.74,66,3,1960.0,no,yes,yes,Neuh-Nymp,normal,no,yes
690.0,58,2,1985.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
423.43,68,3,1982.0,no,yes,yes,Th-Ob-Fo-Fu-So,good,yes,yes
352.5,34,1,1970.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
387.96,65,2,1966.0,no,no,yes,Th-Ob-Fo-Fu-So,normal,no,yes
428.93,46,2,1966.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
277.93,35,1,1966.0,no,yes,yes,Ram-Per,good,no,yes
1150.42,110,3,1960.0,no,yes,yes,Alt-Le,good,yes,yes
392.98,77,3,1970.0,no,yes,yes,Mil-AmH,normal,no,yes
1038.48,96,4,1985.0,yes,yes,yes,Schwab-Frei,good,yes,yes
490.85,40,2,1972.0,no,yes,yes,Lud-Isar,good,no,yes
389.77,64,2,1918.0,no,yes,yes,Lud-Isar,good,no,yes
618.17,79,3,1918.0,no,yes,no,Lud-Isar,good,no,yes
718.86,82,3,1998.0,no,yes,yes,Lud-Isar,normal,no,yes
377.08,77,3,1969.0,no,yes,yes,Obgies,normal,no,yes
552.21,65,2,1970.0,no,yes,yes,Obgies,normal,no,yes
871.77,76,3,1984.0,yes,no,yes,Ram-Per,normal,no,yes
419.27,57,2,1957.0,no,no,yes,Send,normal,no,yes
383.47,36,1,1998.0,no,yes,yes,Send,normal,no,yes
635.69,93,3,1918.0,no,no,yes,Send,normal,no,yes
527.76,87,4,1972.0,no,no,yes,Send-West,normal,no,yes
647.81,79,3,1985.0,no,yes,yes,Send-West,normal,no,yes
345.72,38,1,1966.0,no,yes,yes,Send-West,normal,no,yes
680.36,101,4,1972.0,no,yes,yes,Moos,normal,no,yes
517.59,53,3,1966.0,no,yes,yes,Moos,normal,no,yes
414.65,72,3,1969.0,no,yes,yes,Au-Lo-La,normal,no,yes
722.92,82,3,2000.0,no,yes,yes,Pas-Obmenz,good,no,yes
524.14,55,2,1971.0,no,yes,yes,Au-Lo-La,normal,no,yes
410.97,40,1,1972.0,no,yes,yes,Bogenh,normal,no,yes
175.81,61,2,1918.0,no,no,no,Laim,normal,no,yes
1113.78,140,5,1966.0,no,yes,yes,BamLaim,normal,no,yes
314.74,59,2,1948.0,no,no,yes,BamLaim,normal,no,yes
551.55,57,2,1967.0,no,no,yes,Bogenh,normal,no,yes
773.69,70,2,1918.0,no,yes,yes,Schwab-Frei,good,no,yes
487.61,40,1,1966.0,no,yes,yes,SchwWest,good,no,yes
762.35,68,3,1918.0,no,yes,yes,Maxvor,good,yes,yes
486.4,50,2,1960.0,no,yes,yes,SchwWest,good,no,yes
400.0,34,1,1983.0,no,yes,yes,SchwWest,good,no,yes
1119.75,102,3,1918.0,no,no,yes,SchwWest,good,no,yes
538.07,51,2,1918.0,no,yes,no,Maxvor,good,no,yes
1153.77,120,4,1972.0,yes,yes,yes,SchwWest,normal,no,yes
300.42,27,1,1972.0,no,no,yes,Schwab-Frei,good,no,yes
564.01,98,3,1918.0,no,no,yes,Schwanth,normal,no,yes
637.03,91,3,1987.0,no,yes,yes,Lud-Isar,normal,no,yes
562.43,67,3,1957.0,no,yes,yes,Schwab-Frei,good,no,yes
496.15,65,2,1918.0,no,no,yes,Maxvor,good,no,yes
261.98,54,2,1957.0,no,no,no,Maxvor,good,no,no
926.93,91,4,1960.0,no,no,yes,Au-Haid,normal,no,yes
393.2,66,3,1966.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
565.09,85,4,1971.0,yes,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
613.56,74,3,1974.0,no,yes,yes,Had,normal,no,yes
592.96,53,2,1996.0,no,yes,yes,Send-West,good,no,yes
458.82,81,3,1972.0,no,yes,yes,Send,normal,no,yes
279.35,35,1,1967.0,no,yes,yes,Send-West,normal,no,yes
800.0,80,4,1988.0,yes,yes,yes,All-Umenz,normal,no,yes
563.96,76,3,1978.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
389.77,38,1,1968.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
1288.48,146,1,1973.0,no,yes,yes,Th-Ob-Fo-Fu-So,good,no,yes
488.55,62,3,1957.0,no,yes,yes,Ugies-Har,normal,no,yes
766.95,90,3,1979.0,no,yes,yes,Ugies-Har,normal,no,yes
921.23,100,3,2000.0,yes,yes,yes,Neuh-Nymp,normal,no,yes
373.25,35,1,1966.0,no,yes,yes,Neuh-Nymp,good,no,yes
331.87,34,1,1957.0,no,yes,yes,Neuh-Nymp,top,no,yes
344.06,30,1,1971.0,no,yes,yes,Ugies-Har,good,no,yes
529.56,63,2,1957.0,no,yes,yes,Ugies-Har,normal,no,yes
617.65,46,2,1957.0,no,yes,yes,Ugies-Har,normal,no,yes
239.07,65,3,1918.0,no,yes,no,Send-West,normal,no,no
424.71,54,3,1973.0,no,no,yes,Send-West,normal,no,yes
377.2,62,3,1960.0,no,yes,yes,Send-West,normal,no,yes
591.44,61,2,1966.0,no,yes,yes,Laim,normal,no,yes
521.52,46,2,1918.0,no,yes,yes,Maxvor,good,no,yes
627.66,71,2,1957.0,no,yes,yes,Maxvor,good,no,yes
426.91,50,2,1957.0,no,yes,yes,Maxvor,good,no,yes
695.45,71,3,1966.0,no,yes,yes,Alt-Le,good,no,yes
184.11,46,1,1918.0,no,no,yes,Ram-Per,normal,no,yes
661.31,87,3,1948.0,yes,yes,yes,Ram-Per,good,no,yes
869.21,92,3,1918.0,no,yes,yes,Au-Haid,normal,no,yes
304.22,50,2,1918.0,no,no,no,Au-Haid,good,no,yes
997.0,103,3,1948.0,no,yes,yes,Au-Haid,good,no,yes
458.11,55,2,1971.0,no,yes,yes,Trud-Rie,normal,no,yes
163.17,56,2,1918.0,no,yes,no,Pas-Obmenz,normal,no,no
640.0,68,3,1971.0,no,yes,yes,Pas-Obmenz,good,no,yes
485.74,43,2,1967.0,no,yes,yes,Schwab-Frei,good,no,yes
559.76,82,4,1918.0,no,yes,no,Schwab-Frei,good,no,no
505.08,65,2,1991.0,no,yes,yes,Pas-Obmenz,normal,no,yes
603.34,65,3,1970.0,no,yes,yes,Pas-Obmenz,normal,yes,yes
673.87,75,3,1981.0,no,yes,yes,Pas-Obmenz,normal,no,yes
594.4,105,5,1970.0,yes,yes,yes,Send-West,normal,no,yes
554.73,76,4,1975.0,no,yes,yes,Send-West,good,no,yes
768.15,91,4,1981.0,no,yes,yes,Laim,normal,yes,yes
664.69,42,2,1957.0,no,yes,yes,Neuh-Nymp,good,no,yes
764.5,80,4,2000.0,yes,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
257.3,52,2,1987.0,no,yes,yes,Schwanth,normal,no,yes
1022.6,80,3,1918.0,no,yes,yes,Lud-Isar,good,no,yes
1195.52,135,5,1995.0,no,yes,yes,Lud-Isar,good,no,yes
890.59,82,3,1918.0,no,yes,yes,Lud-Isar,good,no,yes
327.23,34,1,1918.0,no,yes,yes,Lud-Isar,normal,no,yes
392.05,32,1,1966.0,no,yes,yes,Lud-Isar,good,no,yes
544.93,62,2,1974.0,no,yes,yes,Mil-AmH,normal,yes,yes
583.75,113,4,1918.0,no,yes,yes,Schwab-Frei,good,no,yes
501.08,73,3,1957.0,no,no,yes,Send,good,no,yes
676.33,87,3,1993.0,no,yes,yes,Ram-Per,normal,no,yes
658.42,85,4,1960.0,no,yes,yes,Send,normal,no,yes
747.22,73,4,1998.0,no,yes,yes,Send,normal,yes,yes
450.97,33,1,1973.0,no,yes,yes,Send-West,normal,no,yes
848.76,90,4,1918.0,no,yes,yes,SchwWest,good,no,yes
203.75,43,2,1957.0,no,yes,no,Schwab-Frei,good,no,yes
1094.18,90,3,1990.0,no,yes,yes,Schwab-Frei,normal,no,yes
521.52,66,3,1969.0,yes,yes,yes,Laim,normal,no,yes
592.84,50,2,1985.0,no,yes,yes,Mil-AmH,normal,no,yes
271.11,49,3,1960.0,no,yes,yes,Mil-AmH,normal,no,yes
855.03,73,3,1972.0,yes,yes,yes,SchwWest,good,no,yes
272.96,66,3,1966.0,no,no,yes,Mil-AmH,normal,no,yes
602.69,68,3,1980.0,no,yes,yes,SchwWest,normal,no,yes
700.47,70,2,1998.0,no,yes,yes,Laim,good,no,yes
486.06,83,4,1966.0,no,yes,yes,Bogenh,normal,no,yes
777.19,95,3,1966.0,no,yes,yes,Bogenh,normal,yes,yes
603.33,70,3,1967.0,no,yes,yes,Bogenh,normal,no,yes
448.42,74,3,1995.0,no,yes,yes,Ram-Per,normal,no,yes
509.28,72,3,1973.0,no,yes,yes,Ram-Per,normal,no,yes
789.96,74,2,1983.0,yes,yes,yes,Ram-Per,good,no,yes
390.26,60,2,1988.0,no,yes,yes,Ram-Per,normal,no,yes
956.13,105,4,1966.0,no,yes,yes,Ugies-Har,normal,no,yes
769.76,63,3,1966.0,no,yes,yes,Mil-AmH,normal,no,yes
753.29,69,3,1983.0,no,yes,yes,Maxvor,good,no,yes
664.69,78,3,1972.0,no,yes,yes,Maxvor,good,no,yes
923.67,84,3,1918.0,no,yes,yes,Maxvor,good,no,yes
556.89,82,3,1957.0,no,yes,yes,Maxvor,good,no,yes
1236.38,125,5,1918.0,no,yes,yes,Au-Haid,good,no,yes
284.92,61,2,1924.0,no,yes,yes,Au-Haid,normal,no,yes
974.84,107,3,1918.0,no,yes,yes,Au-Haid,good,no,yes
506.18,55,2,1960.0,no,yes,yes,Au-Haid,good,no,yes
882.24,99,3,1983.0,no,yes,yes,Au-Haid,good,no,yes
461.81,90,4,1948.0,yes,yes,no,Feld-Has,normal,no,no
516.77,114,5,1969.0,no,no,yes,Moos,normal,no,yes
572.66,49,2,1966.0,no,yes,yes,Moos,normal,no,yes
654.97,74,3,1987.0,no,yes,yes,Moos,normal,no,yes
594.54,59,2,2000.0,no,yes,yes,Feld-Has,normal,yes,yes
425.36,46,2,1972.0,no,yes,yes,Moos,normal,no,yes
505.38,54,2,1918.0,no,yes,no,Neuh-Nymp,good,no,yes
653.44,64,2,1918.0,no,yes,yes,Neuh-Nymp,good,no,yes
814.56,80,2,1918.0,yes,no,no,Neuh-Nymp,good,no,yes
282.77,53,2,1918.0,no,yes,yes,Neuh-Nymp,good,no,yes
471.66,62,3,1960.0,no,yes,yes,Obgies,normal,no,yes
511.44,73,3,1989.0,no,yes,yes,Obgies,normal,no,yes
593.11,69,3,1957.0,no,yes,yes,Obgies,normal,no,yes
378.37,51,2,1948.0,no,yes,yes,Obgies,normal,no,yes
1073.73,100,5,1977.0,no,yes,yes,Obgies,normal,no,yes
283.9,25,1,1948.0,no,yes,yes,SchwWest,good,no,yes
710.94,78,3,1972.0,no,yes,yes,Mil-AmH,normal,no,yes
408.89,47,1,1983.0,no,yes,yes,SchwWest,normal,no,yes
864.1,86,3,1966.0,no,yes,yes,Au-Lo-La,normal,no,yes
363.35,33,1,1970.0,no,yes,yes,Pas-Obmenz,normal,no,yes
619.69,120,4,1918.0,no,no,yes,Pas-Obmenz,normal,no,yes
862.57,110,5,1918.0,yes,yes,yes,Pas-Obmenz,normal,no,yes
499.23,75,3,1969.0,no,yes,yes,Th-Ob-Fo-Fu-So,normal,no,yes
938.61,82,3,1967.0,yes,yes,yes,Th-Ob-Fo-Fu-So,top,yes,yes
611.96,55,2,1972.0,no,yes,yes,Lud-Isar,normal,no,yes
826.91,100,3,1918.0,no,no,yes,Schwanth,normal,no,yes
442.9,60,2,1966.0,no,yes,yes,Moos,normal,no,yes
877.0,77,3,1971.0,no,no,yes,Neuh-Nymp,good,no,yes
238.62,98,3,1918.0,no,yes,no,Neuh-Nymp,normal,no,yes
983.17,105,4,1948.0,yes,yes,yes,Neuh-Nymp,good,yes,yes
107.74,41,1,1939.0,no,no,yes,Neuh-Nymp,normal,no,yes
819.13,90,3,1985.0,yes,yes,yes,Neuh-Nymp,good,no,yes
417.47,82,4,1960.0,no,no,yes,Neuh-Nymp,normal,no,yes
1095.49,100,3,1978.0,no,yes,yes,SchwWest,normal,yes,yes
735.52,67,2,1918.0,no,yes,yes,Maxvor,good,yes,yes
710.24,57,2,1991.0,yes,yes,yes,Trud-Rie,normal,no,yes
632.47,52,2,1972.0,no,yes,yes,Send,normal,no,yes
870.0,96,3,1918.0,no,yes,yes,Send,normal,no,yes
495.84,63,2,1970.0,no,no,yes,Send-West,normal,no,yes
268.36,34,1,1957.0,no,yes,no,Send,normal,no,yes
637.85,82,3,1987.0,no,yes,yes,Schwanth,normal,no,yes
894.78,78,3,1918.0,yes,yes,yes,Au-Haid,good,yes,yes
444.83,40,2,1918.0,no,yes,yes,Lud-Isar,normal,no,yes
587.99,62,2,1918.0,no,yes,yes,Lud-Isar,normal,no,yes
485.73,49,2,1918.0,no,yes,yes,Neuh-Nymp,good,no,yes
766.95,72,3,1990.0,no,yes,yes,Neuh-Nymp,good,no,yes
720.93,69,3,1918.0,no,yes,yes,Neuh-Nymp,normal,no,yes
652.04,77,3,1971.0,no,yes,yes,Neuh-Nymp,normal,no,yes
536.86,55,2,1973.0,no,yes,yes,Neuh-Nymp,good,no,yes
332.6,40,2,1972.0,no,yes,yes,Neuh-Nymp,good,no,yes
584.6,64,2,1972.0,no,yes,yes,Neuh-Nymp,normal,no,yes
1344.72,125,6,1993.0,no,yes,yes,Neuh-Nymp,good,no,yes
442.46,105,4,1998.0,no,yes,yes,Ram-Per,good,no,yes
602.6,55,2,1989.0,no,yes,yes,Ram-Per,normal,no,yes
562.43,50,2,1987.0,yes,yes,yes,Ram-Per,normal,no,yes
384.0,54,2,1975.0,no,yes,yes,BamLaim,normal,no,yes
334.0,63,4,1966.0,no,yes,yes,BamLaim,normal,no,yes
239.44,50,2,1966.0,yes,yes,yes,BamLaim,normal,no,yes
910.11,96,4,1918.0,yes,yes,yes,Lud-Isar,good,no,yes
541.87,32,1,1918.0,no,yes,yes,Alt-Le,good,no,yes
372.34,90,3,1924.0,no,yes,yes,Au-Haid,normal,no,yes
841.08,93,3,1918.0,no,yes,yes,Au-Haid,normal,no,yes
261.53,47,1,1948.0,yes,no,yes,Ram-Per,normal,no,yes
640.14,76,2,1981.0,yes,yes,yes,Pas-Obmenz,normal,no,yes
688.31,65,2,1983.0,no,yes,yes,Pas-Obmenz,normal,no,yes
1789.55,98,3,1994.0,yes,yes,yes,Pas-Obmenz,top,yes,yes
311.87,58,3,1960.0,no,no,no,Mil-AmH,normal,no,no
263.21,64,2,1939.0,no,no,no,Maxvor,good,no,no
345.23,34,2,1960.0,no,yes,yes,SchwWest,normal,no,yes
487.89,60,2,1957.0,no,yes,yes,Maxvor,good,no,yes
479.87,82,3,1918.0,no,yes,yes,SchwWest,normal,no,yes
1089.39,111,4,1957.0,no,yes,yes,SchwWest,good,no,yes
484.04,50,2,1987.0,no,yes,yes,Maxvor,good,no,yes
619.98,54,2,1980.0,no,yes,yes,Maxvor,normal,no,yes
1216.99,105,4,1974.0,yes,yes,yes,Ugies-Har,top,yes,yes
551.64,107,5,1918.0,no,no,yes,Neuh-Nymp,good,no,yes
81.28,43,2,1918.0,no,yes,no,Send,normal,no,yes
344.24,120,3,1918.0,no,yes,yes,Neuh-Nymp,good,no,yes
674.26,88,4,1983.0,yes,yes,yes,Laim,normal,no,yes
170.04,68,3,1918.0,no,yes,no,Neuh-Nymp,good,no,no
