"","rent","rentsqm","area","rooms","yearc","bathextra","bathtile","cheating","district","location","upkitchen","wwater"
"78",566.21,8.99,63,2,1979,"no","yes","yes","Trud-Rie","good","no","yes"
"79",269.84,4.35,62,2,1918,"no","yes","no","Lud-Isar","normal","no","no"
"80",526.7,4.02,131,5,1924,"no","yes","yes","Lud-Isar","normal","no","yes"
"81",710.69,10.45,68,2,2000,"yes","yes","yes","Lud-Isar","normal","no","yes"
"82",689.49,8.21,84,3,1983,"no","yes","yes","Lud-Isar","normal","no","yes"
"83",511.3,10.23,50,2,1968,"no","yes","yes","Lud-Isar","normal","no","yes"
"84",418.3,5.73,73,4,1960,"no","yes","yes","BamLaim","normal","no","yes"
"85",415.32,6.39,65,3,1966,"no","yes","yes","BamLaim","normal","no","yes"
"86",445.33,7.81,57,2,1918,"no","yes","yes","BamLaim","normal","no","yes"
"87",359.73,4.13,87,3,1924,"no","yes","yes","Moos","normal","no","yes"
"88",890,10.23,87,3,1984,"no","yes","yes","Neuh-Nymp","good","no","yes"
"89",483.43,8.95,54,2,1992,"no","yes","yes","Neuh-Nymp","good","no","yes"
"90",656.51,11.13,59,2,1992,"no","yes","yes","Neuh-Nymp","good","no","yes"
"91",695,7.64,91,3,1966,"no","yes","yes","Schwab-Frei","normal","no","yes"
"92",106.22,3.32,32,1,1957,"no","yes","yes","Mil-AmH","normal","no","yes"
"93",132.24,3.57,37,2,1948,"no","yes","no","Mil-AmH","normal","no","no"
"94",456.44,4.91,93,4,1977,"no","yes","yes","Mil-AmH","normal","no","yes"
"95",489,6.19,79,3,1948,"no","yes","yes","Bogenh","normal","no","yes"
"96",825.48,8.01,103,4,1982,"yes","yes","yes","Ugies-Har","normal","no","yes"
"97",831.28,9.04,92,3,1966,"no","yes","yes","Ram-Per","normal","yes","yes"
"98",715.82,10.23,70,3,1960,"no","yes","yes","Ugies-Har","normal","no","yes"
"99",637.38,8.39,76,3,1989,"no","yes","yes","Bogenh","normal","no","yes"
"100",813.78,11.3,72,3,1992,"no","yes","yes","Bogenh","normal","no","yes"
"101",339.5,3.77,90,3,1973,"yes","yes","yes","Bogenh","good","yes","yes"
"102",598.23,8.31,72,3,1957,"no","yes","yes","Laim","normal","no","yes"
"103",361.97,5.48,66,2,1924,"no","yes","yes","Laim","normal","no","yes"
"104",693.57,8.67,80,3,1966,"no","yes","yes","Laim","normal","no","yes"
"105",549.98,7.64,72,3,1973,"no","yes","yes","Laim","normal","no","yes"
"106",621.79,9.57,65,2,1998.5,"no","yes","yes","Feld-Has","normal","yes","yes"
"107",352.85,4.97,71,3,1993,"no","yes","yes","Feld-Has","normal","no","yes"
"108",969.36,8.89,109,4,1983,"yes","yes","yes","Pas-Obmenz","good","no","yes"
"109",298.95,5.44,55,2,1997,"no","yes","yes","Pas-Obmenz","normal","no","yes"
"110",456.94,7.62,60,2,1997,"yes","yes","yes","Pas-Obmenz","normal","no","yes"
"111",292.28,8.35,35,2,1966,"no","yes","yes","Pas-Obmenz","normal","no","yes"
"112",649.82,6.37,102,4,1974,"yes","yes","yes","Bogenh","normal","no","yes"
"113",363.91,11.37,32,1,1918,"no","yes","yes","Au-Haid","good","no","yes"
"114",1749.15,14.22,123,4,1918,"no","yes","yes","Bogenh","top","no","yes"
"115",679.01,8.28,82,3,1972,"no","yes","yes","Bogenh","normal","no","yes"
"116",643.64,9.07,71,3,1972,"no","yes","yes","Bogenh","normal","no","yes"
"117",727.96,9.1,80,3,1918,"no","yes","yes","Au-Haid","normal","no","yes"
"118",963.84,9.01,107,4,1966,"no","yes","yes","Bogenh","top","no","yes"
"119",338.34,5.21,65,3,1960,"no","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"120",718.07,10.26,70,2,1983,"no","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"121",892.13,9.39,95,3,1918,"yes","yes","yes","Lud-Isar","normal","no","yes"
"122",1217.15,9.66,126,4,1918,"no","yes","no","Lud-Isar","normal","no","yes"
"123",338.15,8.05,42,2,1960,"no","yes","yes","Lud-Isar","normal","no","yes"
"124",466.43,9.33,50,2,1968,"no","yes","yes","Maxvor","normal","no","yes"
"125",570.1,7.22,79,4,1966,"no","yes","yes","Had","normal","no","yes"
"126",673.47,9.23,73,4,1960,"no","yes","yes","Trud-Rie","good","no","yes"
"127",562.58,10.23,55,2,1974,"no","yes","yes","Neuh-Nymp","top","no","yes"
"128",639.13,3.85,166,6,1918,"yes","yes","yes","Neuh-Nymp","good","no","no"
"129",619.94,5.39,115,5,1918,"no","no","yes","Neuh-Nymp","good","no","yes"
"130",426.73,10.94,39,1,1957.5,"yes","yes","yes","Au-Haid","normal","no","yes"
"131",294.82,4.09,72,3,1918,"no","yes","no","Au-Haid","good","no","no"
"132",304.23,5.25,58,2,1918,"yes","no","no","Au-Haid","good","no","yes"
"133",587.99,11.76,50,2,2000,"no","yes","yes","Schwanth","normal","no","yes"
"134",308.99,4.48,69,4,1924,"no","yes","yes","Schwanth","normal","no","yes"
"135",516.5,8.33,62,2,1918,"no","yes","yes","Schwanth","normal","no","yes"
"136",998.83,12.18,82,3,1993,"yes","yes","yes","Trud-Rie","good","yes","yes"
"137",951.37,10.12,94,2,1988,"yes","yes","yes","Trud-Rie","good","no","yes"
"138",679.38,7.72,88,4,1968,"no","yes","yes","Ram-Per","normal","no","yes"
"139",505.67,6.93,73,4,1966,"no","no","yes","Ram-Per","normal","no","yes"
"140",292.61,7.7,38,1,1969,"no","yes","yes","Ram-Per","normal","no","yes"
"141",536.87,8.26,65,2,1969,"no","no","yes","Ram-Per","normal","no","yes"
"142",613.55,8.07,76,2,1972,"no","no","yes","Ram-Per","normal","no","yes"
"143",546.5,7.01,78,4,1960,"no","yes","yes","BamLaim","normal","no","yes"
"144",246.48,4.04,61,3,1924,"no","yes","no","BamLaim","normal","no","yes"
"145",588,11.53,51,2,1924,"no","yes","yes","Maxvor","good","no","yes"
"146",756.34,8.5,89,4,1918,"no","yes","yes","Obgies","normal","no","yes"
"147",149.62,2.49,60,3,1957,"no","no","no","Obgies","normal","no","no"
"148",237.75,4.1,58,2,1918,"no","yes","no","Au-Haid","good","no","no"
"149",261.19,11.36,23,1,1968,"no","yes","yes","Obgies","normal","no","yes"
"150",476.53,6.19,77,3,1968,"no","no","yes","Ram-Per","normal","no","yes"
"151",379.86,5.35,71,3,1970,"no","yes","yes","All-Umenz","normal","no","yes"
"152",181.98,3.87,47,2,1960,"no","no","no","Moos","normal","no","no"
"153",907.53,9.36,97,4,1966,"no","yes","yes","Moos","normal","no","yes"
"154",767.94,7.31,105,4,1970,"no","yes","yes","Moos","normal","no","yes"
"155",740.71,10.58,70,3,1967,"no","yes","yes","Feld-Has","normal","yes","yes"
"156",678.93,7.63,89,4,1972,"no","no","yes","All-Umenz","normal","no","yes"
"157",705.29,6.41,110,4,1918,"no","yes","yes","Neuh-Nymp","good","no","yes"
"158",458.92,9.18,50,2,1960,"yes","no","yes","Neuh-Nymp","good","no","yes"
"159",560.76,6.76,83,2,1918,"no","yes","yes","Neuh-Nymp","good","no","yes"
"160",559.87,10.37,54,2,1993,"no","yes","yes","Bogenh","normal","no","yes"
"161",690,8.96,77,2,1983,"no","yes","yes","SchwWest","good","no","yes"
"162",920.34,9.49,97,4,1966,"no","no","yes","SchwWest","good","no","yes"
"163",469.08,7.11,66,3,1966,"no","no","yes","Had","normal","no","yes"
"164",324.67,7.92,41,2,1969,"no","yes","yes","Had","normal","no","yes"
"165",685.04,7.87,87,3,1966,"no","no","yes","SchwWest","good","no","yes"
"166",410.74,4.67,88,4,1924,"no","no","no","Laim","normal","no","no"
"167",608.43,10.31,59,2,1992,"no","yes","yes","Ram-Per","normal","no","yes"
"168",383.48,9.59,40,1,1984,"no","yes","yes","Ram-Per","normal","no","yes"
"169",505.23,6.56,77,4,1974,"no","yes","yes","Ram-Per","normal","no","yes"
"170",586.11,7.51,78,3,1989,"no","yes","yes","Ram-Per","normal","yes","yes"
"171",585.03,8.36,70,2,1966,"no","no","yes","Neuh-Nymp","good","no","yes"
"172",605.78,10.44,58,2,1918,"no","yes","yes","Neuh-Nymp","normal","no","yes"
"173",536.74,8.13,66,3,1960,"no","yes","yes","Neuh-Nymp","normal","no","yes"
"174",690,11.9,58,2,1985,"no","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"175",423.43,6.23,68,3,1982,"no","yes","yes","Th-Ob-Fo-Fu-So","good","yes","yes"
"176",352.5,10.37,34,1,1970,"no","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"177",387.96,5.97,65,2,1966,"no","no","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"178",428.93,9.32,46,2,1966,"no","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"179",277.93,7.94,35,1,1966,"no","yes","yes","Ram-Per","good","no","yes"
"180",1150.42,10.46,110,3,1960,"no","yes","yes","Alt-Le","good","yes","yes"
"181",392.98,5.1,77,3,1970,"no","yes","yes","Mil-AmH","normal","no","yes"
"182",1038.48,10.82,96,4,1985,"yes","yes","yes","Schwab-Frei","good","yes","yes"
"183",490.85,12.27,40,2,1972,"no","yes","yes","Lud-Isar","good","no","yes"
"184",389.77,6.09,64,2,1918,"no","yes","yes","Lud-Isar","good","no","yes"
"185",618.17,7.82,79,3,1918,"no","yes","no","Lud-Isar","good","no","yes"
"186",718.86,8.77,82,3,1998.5,"no","yes","yes","Lud-Isar","normal","no","yes"
"187",377.08,4.9,77,3,1969,"no","yes","yes","Obgies","normal","no","yes"
"188",552.21,8.5,65,2,1970,"no","yes","yes","Obgies","normal","no","yes"
"189",871.77,11.47,76,3,1984,"yes","no","yes","Ram-Per","normal","no","yes"
"190",419.27,7.36,57,2,1957,"no","no","yes","Send","normal","no","yes"
"191",383.47,10.65,36,1,1998.5,"no","yes","yes","Send","normal","no","yes"
"192",635.69,6.84,93,3,1918,"no","no","yes","Send","normal","no","yes"
"193",527.76,6.07,87,4,1972,"no","no","yes","Send-West","normal","no","yes"
"194",647.81,8.2,79,3,1985,"no","yes","yes","Send-West","normal","no","yes"
"195",345.72,9.1,38,1,1966,"no","yes","yes","Send-West","normal","no","yes"
"196",680.36,6.74,101,4,1972,"no","yes","yes","Moos","normal","no","yes"
"197",517.59,9.77,53,3,1966,"no","yes","yes","Moos","normal","no","yes"
"198",414.65,5.76,72,3,1969,"no","yes","yes","Au-Lo-La","normal","no","yes"
"199",722.92,8.82,82,3,2000,"no","yes","yes","Pas-Obmenz","good","no","yes"
"200",524.14,9.53,55,2,1971,"no","yes","yes","Au-Lo-La","normal","no","yes"
"201",410.97,10.27,40,1,1972,"no","yes","yes","Bogenh","normal","no","yes"
"202",175.81,2.88,61,2,1918,"no","no","no","Laim","normal","no","yes"
"203",1113.78,7.96,140,5,1966,"no","yes","yes","BamLaim","normal","no","yes"
"204",314.74,5.33,59,2,1948,"no","no","yes","BamLaim","normal","no","yes"
"205",551.55,9.68,57,2,1967,"no","no","yes","Bogenh","normal","no","yes"
"206",773.69,11.05,70,2,1918,"no","yes","yes","Schwab-Frei","good","no","yes"
"207",487.61,12.19,40,1,1966,"no","yes","yes","SchwWest","good","no","yes"
"208",762.35,11.21,68,3,1918,"no","yes","yes","Maxvor","good","yes","yes"
"209",486.4,9.73,50,2,1960,"no","yes","yes","SchwWest","good","no","yes"
"210",400,11.76,34,1,1983,"no","yes","yes","SchwWest","good","no","yes"
"211",1119.75,10.98,102,3,1918,"no","no","yes","SchwWest","good","no","yes"
"212",538.07,10.55,51,2,1918,"no","yes","no","Maxvor","good","no","yes"
"213",1153.77,9.61,120,4,1972,"yes","yes","yes","SchwWest","normal","no","yes"
"214",300.42,11.13,27,1,1972,"no","no","yes","Schwab-Frei","good","no","yes"
"215",564.01,5.76,98,3,1918,"no","no","yes","Schwanth","normal","no","yes"
"216",637.03,7,91,3,1987,"no","yes","yes","Lud-Isar","normal","no","yes"
"217",562.43,8.39,67,3,1957,"no","yes","yes","Schwab-Frei","good","no","yes"
"218",496.15,7.63,65,2,1918,"no","no","yes","Maxvor","good","no","yes"
"219",261.98,4.85,54,2,1957,"no","no","no","Maxvor","good","no","no"
"220",926.93,10.19,91,4,1960,"no","no","yes","Au-Haid","normal","no","yes"
"221",393.2,5.96,66,3,1966,"no","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"222",565.09,6.65,85,4,1971,"yes","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"223",613.56,8.29,74,3,1974,"no","yes","yes","Had","normal","no","yes"
"224",592.96,11.19,53,2,1996,"no","yes","yes","Send-West","good","no","yes"
"225",458.82,5.66,81,3,1972,"no","yes","yes","Send","normal","no","yes"
"226",279.35,7.98,35,1,1967,"no","yes","yes","Send-West","normal","no","yes"
"227",800,10,80,4,1988,"yes","yes","yes","All-Umenz","normal","no","yes"
"228",563.96,7.42,76,3,1978,"no","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"229",389.77,10.26,38,1,1968,"no","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"230",1288.48,8.83,146,1,1973,"no","yes","yes","Th-Ob-Fo-Fu-So","good","no","yes"
"231",488.55,7.88,62,3,1957,"no","yes","yes","Ugies-Har","normal","no","yes"
"232",766.95,8.52,90,3,1979,"no","yes","yes","Ugies-Har","normal","no","yes"
"233",921.23,9.21,100,3,2000,"yes","yes","yes","Neuh-Nymp","normal","no","yes"
"234",373.25,10.66,35,1,1966,"no","yes","yes","Neuh-Nymp","good","no","yes"
"235",331.87,9.76,34,1,1957,"no","yes","yes","Neuh-Nymp","top","no","yes"
"236",344.06,11.47,30,1,1971,"no","yes","yes","Ugies-Har","good","no","yes"
"237",529.56,8.41,63,2,1957,"no","yes","yes","Ugies-Har","normal","no","yes"
"238",617.65,13.43,46,2,1957,"no","yes","yes","Ugies-Har","normal","no","yes"
"239",239.07,3.68,65,3,1918,"no","yes","no","Send-West","normal","no","no"
"240",424.71,7.87,54,3,1973,"no","no","yes","Send-West","normal","no","yes"
"241",377.2,6.08,62,3,1960,"no","yes","yes","Send-West","normal","no","yes"
"242",591.44,9.7,61,2,1966,"no","yes","yes","Laim","normal","no","yes"
"243",521.52,11.34,46,2,1918,"no","yes","yes","Maxvor","good","no","yes"
"244",627.66,8.84,71,2,1957,"no","yes","yes","Maxvor","good","no","yes"
"245",426.91,8.54,50,2,1957,"no","yes","yes","Maxvor","good","no","yes"
"246",695.45,9.8,71,3,1966,"no","yes","yes","Alt-Le","good","no","yes"
"247",184.11,4,46,1,1918,"no","no","yes","Ram-Per","normal","no","yes"
"248",661.31,7.6,87,3,1948,"yes","yes","yes","Ram-Per","good","no","yes"
"249",869.21,9.45,92,3,1918,"no","yes","yes","Au-Haid","normal","no","yes"
"250",304.22,6.08,50,2,1918,"no","no","no","Au-Haid","good","no","yes"
"251",997,9.68,103,3,1948,"no","yes","yes","Au-Haid","good","no","yes"
"252",458.11,8.33,55,2,1971,"no","yes","yes","Trud-Rie","normal","no","yes"
"253",163.17,2.91,56,2,1918,"no","yes","no","Pas-Obmenz","normal","no","no"
"254",640,9.41,68,3,1971,"no","yes","yes","Pas-Obmenz","good","no","yes"
"255",485.74,11.3,43,2,1967,"no","yes","yes","Schwab-Frei","good","no","yes"
"256",559.76,6.83,82,4,1918,"no","yes","no","Schwab-Frei","good","no","no"
"257",505.08,7.77,65,2,1991,"no","yes","yes","Pas-Obmenz","normal","no","yes"
"258",603.34,9.28,65,3,1970,"no","yes","yes","Pas-Obmenz","normal","yes","yes"
"259",673.87,8.98,75,3,1981,"no","yes","yes","Pas-Obmenz","normal","no","yes"
"260",594.4,5.66,105,5,1970,"yes","yes","yes","Send-West","normal","no","yes"
"261",554.73,7.3,76,4,1975,"no","yes","yes","Send-West","good","no","yes"
"262",768.15,8.44,91,4,1981,"no","yes","yes","Laim","normal","yes","yes"
"263",664.69,15.83,42,2,1957.5,"no","yes","yes","Neuh-Nymp","good","no","yes"
"264",764.5,9.56,80,4,2000,"yes","yes","yes","Th-Ob-Fo-Fu-So","normal","no","yes"
"265",257.3,4.95,52,2,1987,"no","yes","yes","Schwanth","normal","no","yes"
"266",1022.6,12.78,80,3,1918,"no","yes","yes","Lud-Isar","good","no","yes"
"267",1195.52,8.86,135,5,1995,"no","yes","yes","Lud-Isar","good","no","yes"
"268",890.59,10.86,82,3,1918,"no","yes","yes","Lud-Isar","good","no","yes"
"269",327.23,9.62,34,1,1918,"no","yes","yes","Lud-Isar","normal","no","yes"
"270",392.05,12.25,32,1,1966,"no","yes","yes","Lud-Isar","good","no","yes"
"271",544.93,8.79,62,2,1974,"no","yes","yes","Mil-AmH","normal","yes","yes"
"272",583.75,5.17,113,4,1918,"no","yes","yes","Schwab-Frei","good","no","yes"
"273",501.08,6.86,73,3,1957,"no","no","yes","Send","good","no","yes"
"274",676.33,7.77,87,3,1993,"no","yes","yes","Ram-Per","normal","no","yes"
"275",658.42,7.75,85,4,1960,"no","yes","yes","Send","normal","no","yes"
"276",747.22,10.24,73,4,1998.5,"no","yes","yes","Send","normal","yes","yes"
"277",450.97,13.67,33,1,1973,"no","yes","yes","Send-West","normal","no","yes"
"278",848.76,9.43,90,4,1918,"no","yes","yes","SchwWest","good","no","yes"
"279",203.75,4.74,43,2,1957,"no","yes","no","Schwab-Frei","good","no","yes"
"280",1094.18,12.16,90,3,1990,"no","yes","yes","Schwab-Frei","normal","no","yes"
"281",521.52,7.9,66,3,1969,"yes","yes","yes","Laim","normal","no","yes"
"282",592.84,11.86,50,2,1985,"no","yes","yes","Mil-AmH","normal","no","yes"
"283",271.11,5.53,49,3,1960,"no","yes","yes","Mil-AmH","normal","no","yes"
"284",855.03,11.71,73,3,1972,"yes","yes","yes","SchwWest","good","no","yes"
"285",272.96,4.14,66,3,1966,"no","no","yes","Mil-AmH","normal","no","yes"
"286",602.69,8.86,68,3,1980,"no","yes","yes","SchwWest","normal","no","yes"
"287",700.47,10.01,70,2,1998.5,"no","yes","yes","Laim","good","no","yes"
"288",486.06,5.86,83,4,1966,"no","yes","yes","Bogenh","normal","no","yes"
"289",777.19,8.18,95,3,1966,"no","yes","yes","Bogenh","normal","yes","yes"
"290",603.33,8.62,70,3,1967,"no","yes","yes","Bogenh","normal","no","yes"
"291",448.42,6.06,74,3,1995,"no","yes","yes","Ram-Per","normal","no","yes"
"292",509.28,7.07,72,3,1973,"no","yes","yes","Ram-Per","normal","no","yes"
"293",789.96,10.68,74,2,1983,"yes","yes","yes","Ram-Per","good","no","yes"
"294",390.26,6.5,60,2,1988,"no","yes","yes","Ram-Per","normal","no","yes"
"295",956.13,9.11,105,4,1966,"no","yes","yes","Ugies-Har","normal","no","yes"
"296",769.76,12.22,63,3,1966,"no","yes","yes","Mil-AmH","normal","no","yes"
"297",753.29,10.92,69,3,1983,"no","yes","yes","Maxvor","good","no","yes"
"298",664.69,8.52,78,3,1972,"no","yes","yes","Maxvor","good","no","yes"
"299",923.67,11,84,3,1918,"no","yes","yes","Maxvor","good","no","yes"
"300",556.89,6.79,82,3,1957,"no","yes","yes","Maxvor","good","no","yes"
"301",1236.38,9.89,125,5,1918,"no","yes","yes","Au-Haid","good","no","yes"
"302",284.92,4.67,61,2,1924,"no","yes","yes","Au-Haid","normal","no","yes"
"303",974.84,9.11,107,3,1918,"no","yes","yes","Au-Haid","good","no","yes"
"304",506.18,9.2,55,2,1960,"no","yes","yes","Au-Haid","good","no","yes"
"305",882.24,8.91,99,3,1983,"no","yes","yes","Au-Haid","good","no","yes"
"306",461.81,5.13,90,4,1948,"yes","yes","no","Feld-Has","normal","no","no"
"307",516.77,4.53,114,5,1969,"no","no","yes","Moos","normal","no","yes"
"308",572.66,11.69,49,2,1966,"no","yes","yes","Moos","normal","no","yes"
"309",654.97,8.85,74,3,1987,"no","yes","yes","Moos","normal","no","yes"
"310",594.54,10.08,59,2,2000,"no","yes","yes","Feld-Has","normal","yes","yes"
"311",425.36,9.25,46,2,1972,"no","yes","yes","Moos","normal","no","yes"
"312",505.38,9.36,54,2,1918,"no","yes","no","Neuh-Nymp","good","no","yes"
"313",653.44,10.21,64,2,1918,"no","yes","yes","Neuh-Nymp","good","no","yes"
"314",814.56,10.18,80,2,1918,"yes","no","no","Neuh-Nymp","good","no","yes"
"315",282.77,5.34,53,2,1918,"no","yes","yes","Neuh-Nymp","good","no","yes"
"316",471.66,7.61,62,3,1960,"no","yes","yes","Obgies","normal","no","yes"
"317",511.44,7.01,73,3,1989,"no","yes","yes","Obgies","normal","no","yes"
"318",593.11,8.6,69,3,1957,"no","yes","yes","Obgies","normal","no","yes"
"319",378.37,7.42,51,2,1948,"no","yes","yes","Obgies","normal","no","yes"
"320",1073.73,10.74,100,5,1977,"no","yes","yes","Obgies","normal","no","yes"
"321",283.9,11.36,25,1,1948,"no","yes","yes","SchwWest","good","no","yes"
"322",710.94,9.11,78,3,1972,"no","yes","yes","Mil-AmH","normal","no","yes"
"323",408.89,8.7,47,1,1983,"no","yes","yes","SchwWest","normal","no","yes"
